"VNRO","PKOKO"
"004092",90
"004097",98
"004100",100
"004104",100
"004110",30
"004112",30
"004121",100
"004123",100
"004132",10
"004133",6
"004145",30
"004154",100
"004166",30
"004192",30
"004218",100
"004243",5
"004245",1
"004258",1
"004298",10
"004333",26
"004334",5
"004345",5
"004356",1
"004360",1
"004364",6
"004367",5
"004369",6
"004370",30
"004372",2.4
"004375",6
"004378",100
"004382",20
"004383",6
"004385",1
"004391",6
"004404",10
"004412",100
"004415",1
"004432",30
"004441",2
"004443",10
"004447",3
"004450",250
"004451",10
"004454",4
"004462",14
"004469",8
"004471",1
"004482",2
"004487",21
"004493",12
"004503",100
"004504",4
"004516",100
"004517",8
"004524",10
"004532",35
"004543",42
"004553",50
"004554",30
"004560",30
"004562",100
"004565",28
"004579",84
"004586",90
"004600",30
"004604",100
"004661",100
"004665",100
"004688",7
"004698",100
"004699",28
"004701",20
"004708",14
"004709",30
"004711",28
"004720",100
"004721",40
"004737",100
"004759",100
"004783",250
"004794",100
"004795",28
"004801",28
"004804",100
"004805",250
"004806",28
"004838",100
"004853",30
"004861",100
"004891",100
"004913",100
"004931",2.5
"004938",30
"004952",100
"004954",14
"004955",10
"004958",100
"004960",250
"004965",24
"004979",100
"005031",100
"005036",12
"005048",36
"005055",98
"005058",10
"005059",96
"005064",7.5
"005068",28
"005071",98
"005079",98
"005080",14
"005085",1
"005088",28
"005093",28
"005094",100
"005096",10
"005097",10
"005100",10
"005101",28
"005102",24
"005108",90
"005110",28
"005123",10
"005126",30
"005127",20
"005135",90
"005138",100
"005144",10
"005145",98
"005147",10
"005149",28
"005152",20
"005158",16
"005163",100
"005166",56
"005171",20
"005174",10
"005180",100
"005185",20
"005188",1
"005191",10
"005194",6
"005198",90
"005202",20
"005205",100
"005209",56
"005213",100
"005214",2
"005216",10
"005223",30
"005225",15
"005229",20
"005231",100
"005233",28
"005244",100
"005249",100
"005255",30
"005265",112
"005290",30
"005296",100
"005297",28
"005301",100
"005303",2
"005306",10
"005312",30
"005323",100
"005333",20
"005334",250
"005344",10
"005345",30
"005347",6
"005355",12
"005356",100
"005363",1
"005367",250
"005369",1
"005373",28
"005378",100
"005380",2
"005391",250
"005424",30
"005434",120
"005436",3
"005451",98
"005455",1
"005467",28
"005473",98
"005483",200
"005488",2
"005494",3
"005498",30
"005502",100
"005507",4
"005522",30
"005524",100
"005526",28
"005561",6
"005565",12
"005575",30
"005588",30
"005589",24
"005597",60
"005600",30
"005612",8
"005623",24
"005634",24
"005650",24
"005652",12
"005710",100
"005744",20
"005746",14
"005757",28
"005760",12
"005766",0.25
"005768",56
"005769",100
"005771",28
"005777",100
"005779",98
"005782",15
"005784",20
"005790",100
"005793",100
"005800",15
"005803",14
"005812",28
"005819",28
"005823",56
"005827",100
"005834",98
"005835",30
"005836",20
"005837",98
"005845",100
"005853",100
"005856",14
"005860",60
"005867",28
"005868",250
"005870",1
"005872",28
"005876",98
"005878",56
"005879",30
"005884",8
"005885",1
"005894",98
"005902",100
"005910",28
"005911",14
"005922",28
"005926",98
"005932",98
"005933",56
"005944",98
"005949",10
"005951",15
"005954",28
"005958",12
"005960",98
"005963",14
"005967",5
"005975",50
"005976",98
"005983",7
"005987",45
"006001",30
"006006",100
"006007",672
"006015",100
"006023",5
"006024",15
"006031",100
"006051",100
"006062",100
"006068",90
"006073",100
"006079",1
"006080",5
"006082",28
"006093",98
"006102",15
"006104",28
"006109",100
"006115",1
"006130",250
"006132",24
"006148",100
"006152",10
"006163",15
"006180",14
"006181",10
"006183",14
"006185",14
"006192",14
"006200",30
"006203",14
"006213",30
"006221",100
"006222",14
"006224",100
"006231",30
"006240",4
"006244",98
"006249",4
"006254",20
"006255",98
"006260",30
"006263",98
"006264",4
"006270",84
"006273",30
"006275",5
"006276",20
"006279",100
"006281",4
"006283",4
"006286",4
"006292",4
"006299",50
"006305",100
"006306",6
"006308",20
"006314",15
"006323",100
"006324",60
"006334",60
"006343",4
"006350",100
"006354",6
"006358",15
"006375",4
"006384",5
"006389",6
"006400",4
"006402",15
"006403",200
"006406",4
"006413",30
"006422",3
"006433",6
"006444",15
"006461",4
